fold,mode,k,draw,gamma_rmse,pl0_rmse,source
chicago,residual,3,8,0.6084759830351137,17.46069974258785,gbdt
chicago,bias,3,9,0.5680533802492289,17.5083975577282,gbdt
chicago,residual,3,9,0.5536627242919469,17.220248562821645,gbdt
chicago,bias,5,0,0.5696389984000582,17.443458655016823,gbdt
chicago,residual,5,0,0.5707412005101627,17.346364986623048,gbdt
chicago,bias,5,1,0.5666661914818701,17.42603950562544,gbdt
chicago,residual,5,1,0.5541619563841109,16.827798561686215,gbdt
chicago,bias,5,2,0.627596553268904,18.535191267626384,gbdt
chicago,residual,5,2,0.623140488727182,18.424581758445804,gbdt
chicago,bias,5,3,0.5951259593315879,17.42801397238264,gbdt
chicago,residual,5,3,0.5904688078522787,17.224498567311976,gbdt
chicago,bias,5,4,0.5696936882072574,18.20373975899231,gbdt
chicago,residual,5,4,0.5639324527821129,17.622745590679912,gbdt
chicago,bias,5,5,0.5658348213595858,17.46378321542025,gbdt
chicago,residual,5,5,0.5672099013031193,17.44831885360142,gbdt
chicago,bias,5,6,0.5929603930519429,17.488197510299724,gbdt
chicago,residual,5,6,0.5864700766256397,17.18941420907111,gbdt
chicago,bias,5,7,0.591064648477772,17.45715703407261,gbdt
chicago,residual,5,7,0.5838356050120581,17.140819302929255,gbdt
chicago,bias,5,8,0.5967549944379537,19.25499699364903,gbdt
chicago,residual,5,8,0.596499424819218,19.30930227763394,gbdt
chicago,bias,5,9,0.6007635842670677,20.58413025928612,gbdt
chicago,residual,5,9,0.5960990645495307,20.498222451013348,gbdt
chicago,bias,10,0,0.6100075158598421,18.531292504289677,gbdt
chicago,residual,10,0,0.5955138266514135,17.97046319859763,gbdt
